file,check,severity,detail
../../data/raw/train/Florida_Antique_car_license_plate_jpg.rf.c408fd1a8d60e75aa934ed0931e7c2fd.jpg,box_suspiciously_large,WARN,rel_area=1.00
../../data/raw/train/DRS507_jpg.rf.2d8b79eb138d7068b8b17b5ae8cd874f.jpg,box_tiny,WARN,rel_area=4.22e-04 (11x6px)
../../data/raw/train/Get-20a-20green-20licence-20plate-20_-20Ontario-ca_jpg.rf.285436955f38deb6f3f63d28c02820ad.jpg,box_suspiciously_large,WARN,rel_area=0.99
../../data/raw/train/Cars44_png_jpg.rf.a860aed4c3207a9b8defd33c0f146e4f.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/Florida_Antique_car_license_plate_jpg.rf.c43b0d78bbd9739122ee44ca5737e605.jpg,box_suspiciously_large,WARN,rel_area=1.00
../../data/raw/train/Get-20a-20green-20licence-20plate-20_-20Ontario-ca_jpg.rf.589804d656a1754c291145c19d61e1b2.jpg,box_suspiciously_large,WARN,rel_area=1.00
../../data/raw/train/Get-20a-20green-20licence-20plate-20_-20Ontario-ca_jpg.rf.1c1cb8d5a9fa44fc2a7b97dd87de972c.jpg,box_suspiciously_large,WARN,rel_area=1.00
../../data/raw/train/Florida_Antique_car_license_plate_jpg.rf.f6433ed64cf3778b2b673c8f28a2cb1e.jpg,box_suspiciously_large,WARN,rel_area=1.00
../../data/raw/train/DRS507_jpg.rf.8e7660f3c76827f2ce2d1a95be8224af.jpg,box_tiny,WARN,rel_area=4.13e-04 (11x6px)
../../data/raw/train/DRS507_jpg.rf.8e7660f3c76827f2ce2d1a95be8224af.jpg,box_tiny,WARN,rel_area=2.63e-04 (7x6px)
../../data/raw/train/Florida_Antique_car_license_plate_jpg.rf.cce26e2ec0b9cf09b6e2914e32183a6d.jpg,box_suspiciously_large,WARN,rel_area=1.00
../../data/raw/train/DRS507_jpg.rf.ec9613282605e4590c54518fb91e47bf.jpg,box_tiny,WARN,rel_area=3.42e-04 (11x5px)
../../data/raw/train/DRS507_jpg.rf.ec9613282605e4590c54518fb91e47bf.jpg,box_tiny,WARN,rel_area=1.23e-04 (4x5px)
../../data/raw/train/pic_538_jpg.rf.1bc000e8300a4b5d60943ad343f6bcb4.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/CarLongPlate368_jpg.rf.2150df0ac801ab167224003f1515bbe8.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/CarLongPlate368_jpg.rf.4f02b044f9cea7d11d3dd73ec3c004c4.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/DRS507_jpg.rf.8a7a27d09bb50f6681b489ab8249acc1.jpg,box_tiny,WARN,rel_area=3.45e-04 (11x5px)
../../data/raw/train/00403b390556e56d_jpg.rf.2d8f68cf44efa852f391a4aa4eddaea5.jpg,box_tiny,WARN,rel_area=1.18e-04 (7x11px)
../../data/raw/train/002f860e692757f7_jpg.rf.3cacfa17b622370caa66b842884de1de.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/0015ed86d644a332_jpg.rf.8ec8d98ab65e3affab4707c77b36b7b0.jpg,box_tiny,WARN,rel_area=4.24e-04 (15x20px)
../../data/raw/train/0049ed70c1b2d480_jpg.rf.a07caac0c3c47bceb421f9a42cd7e9e6.jpg,box_tiny,WARN,rel_area=2.16e-04 (13x12px)
../../data/raw/train/0049ed70c1b2d480_jpg.rf.a07caac0c3c47bceb421f9a42cd7e9e6.jpg,box_tiny,WARN,rel_area=4.44e-04 (20x16px)
../../data/raw/train/0049ed70c1b2d480_jpg.rf.a07caac0c3c47bceb421f9a42cd7e9e6.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/00494d0811b9e652_jpg.rf.a4c89c03e4d67617c1c18f4812d814e4.jpg,box_tiny,WARN,rel_area=6.71e-05 (10x5px)
../../data/raw/train/00494d0811b9e652_jpg.rf.a4c89c03e4d67617c1c18f4812d814e4.jpg,box_tiny,WARN,rel_area=6.04e-05 (9x5px)
../../data/raw/train/00494d0811b9e652_jpg.rf.a4c89c03e4d67617c1c18f4812d814e4.jpg,box_tiny,WARN,rel_area=8.08e-05 (12x5px)
../../data/raw/train/00494d0811b9e652_jpg.rf.a4c89c03e4d67617c1c18f4812d814e4.jpg,box_tiny,WARN,rel_area=1.07e-04 (10x8px)
../../data/raw/train/00494d0811b9e652_jpg.rf.a4c89c03e4d67617c1c18f4812d814e4.jpg,box_tiny,WARN,rel_area=4.32e-04 (23x14px)
../../data/raw/train/004e03d45963728e_jpg.rf.ae464f8ab13fc55ae1c167cc88fcd725.jpg,box_tiny,WARN,rel_area=2.82e-04 (24x7px)
../../data/raw/train/CarLongPlateGen2931_jpg.rf.c3be334b72880b989b22047d980e9e57.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/CarLongPlateGen2895_jpg.rf.929f788233e07f3f9709c00ae03bf294.jpg,box_out_of_bounds,WARN,box exceeds image bounds
